Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
ARG,1975,56.62890425,5.824051799,-0.1546206975,0.1060095983,0.008556666081,-0.02841210277,43.27476829,72.37530818,11.80272429,13.17348992,1.843600035,29.44104696,29.28621613,0.1562071883,1.372533356,85.63645525,6.583910492,80.26884899,47.0093434,-2.747213096,56.14217904
ARG,1976,45.87259581,9.175388297,3.253891969,0.4781754766,0.003013513916,-2.018251517,40.954084,28.72211535,15.09688462,13.58035551,1.165639997,30.72943959,33.98323231,0.1616835008,1.272242256,18.73741035,8.152170712,77.34010862,46.96330238,4.719644089,73.92768187
ARG,1977,49.60188023,9.615892413,2.289498257,0.2536059593,-0.001761152495,6.934147755,44.10665582,91.74627753,16.94228657,17.28395059,1.71984005,30.9416888,33.23118706,0.1664562635,1.983057709,42.01470291,8.087142114,58.21933582,46.91726136,2.444911363,9.123348286
ARG,1978,31.1939631,8.608389938,2.892983504,0.4304195012,-0.03959859411,-4.506124802,46.3979525,52.17080668,14.32379637,17.6196527,1.935549974,27.80015957,30.69314738,0.1728231482,3.195434377,55.45072454,7.504427478,42.67065265,46.87122034,2.784402317,23.34221628
ARG,1979,40.43503252,6.510915467,0.1811462924,0.2974629202,-0.08519569073,10.22276346,48.17559806,32.43379333,12.84068464,20.95236394,2.400279999,25.85676946,26.0379663,0.2463655358,-0.7407693109,14.33261691,7.796277359,98.94522876,46.82517932,2.86384178,33.58956198
ARG,1980,91.82186821,5.061972681,-1.421727099,0.8809551101,-0.1429278202,1.518783949,52.42683251,69.14777217,11.54567246,24.11841999,2.607150078,25.25778629,23.83605681,0.1990188763,-6.203067397,27.44373058,6.353505005,13.72562733,46.7791383,-6.006531908,19.17551857
ARG,1981,73.52688928,6.92104948,-0.4508785182,1.06384544,-0.1359993573,-5.18978914,53.1862536,56.30742286,14.29297748,23.60669219,75.30370187,22.69108872,22.24020775,0.1634576297,-5.989055811,6.481788312,6.475522961,5.701019004,46.73309728,3.494103705,60.85146059
ARG,1982,34.26094977,9.090493079,2.569500057,0.269252481,-0.03558402833,-0.7356591616,49.30099531,14.42959717,15.6114861,15.37467251,1.597869992,21.75494795,24.324448,0.2001338295,-2.790973955,59.59434367,9.596156046,5.959323095,47.05282659,7.478221152,84.22198339
ARG,1983,70.94969176,9.151520687,3.315371267,0.1779203589,0.00192346334,4.34909328,49.78536853,46.4661187,14.98767011,11.86776881,1.617499948,20.88775231,24.20312357,0.1520529949,-2.342778348,81.91440663,8.658324961,5.47804398,47.00715097,2.027512519,76.20405701
ARG,1984,76.91204684,7.589895312,2.833409194,0.3388458924,0.05507383667,1.570738702,51.94583523,88.9103596,12.34638143,16.04713458,2.56972003,19.96409245,22.79750164,0.1359559399,-3.15455411,5.18291575,8.345976837,24.83680524,46.96074455,0.3583102102,94.50683701
ARG,1985,58.82249831,11.73609802,5.462770971,1.039396769,0.04789713077,-5.189024352,53.08953817,39.87714455,18.00942507,13.80961322,1.361860037,17.58906692,23.05183789,0.09805592756,-1.076720048,34.33680015,7.634307257,5.147726408,46.91470353,-1.69511856,5.887002177
ARG,1986,52.0686687,8.161977544,1.837922296,0.5174227099,0.01009586327,6.153377063,54.81916247,25.36425603,14.48603279,10.43499179,1.26154995,17.46176421,19.2996865,0.09530713989,-2.577197783,67.99515489,7.80040264,38.35096132,46.86866251,0.1787325956,12.96270063
ARG,1987,18.49556394,7.873205813,0.2974417438,-0.01710075718,0.04331977558,2.704868826,54.07696627,66.94196103,15.44896988,10.96068531,1.282299995,19.554866,19.85230775,0.1245494835,-3.811668772,70.3432884,8.094358464,10.73692975,46.7495405,-2.727992339,86.56103288
ARG,1988,28.88703836,9.531612973,3.319767337,0.9088257081,-0.01796821233,-1.089933342,52.5355207,95.84205252,15.74345861,11.4550072,62.62692269,18.6400389,21.95980623,0.1135431735,-1.245574554,16.48942605,8.977868218,93.86712959,46.54527915,7.866173312,85.41359065
